INFO     | 2021-01-14 03:10:37,335 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2021-01-14 03:10:37,347 | config     | Setting 'alignment' to 'Concat2reducido.phy'
INFO     | 2021-01-14 03:10:37,347 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2021-01-14 03:10:37,347 | parser     | You set 'models' to: beast
INFO     | 2021-01-14 03:10:37,718 | model_load | This analysis will use the following 40 models of molecular evolution
INFO     | 2021-01-14 03:10:37,718 | model_load | JC, K80, TRNEF, SYM, HKY, TRN, GTR, HKY+X, TRN+X, GTR+X, JC+G, K80+G, TRNEF+G, SYM+G, HKY+G, TRN+G, GTR+G, HKY+G+X, TRN+G+X, GTR+G+X, JC+I, K80+I, TRNEF+I, SYM+I, HKY+I, TRN+I, GTR+I, HKY+I+X, TRN+I+X, GTR+I+X, JC+I+G, K80+I+G, TRNEF+I+G, SYM+I+G, HKY+I+G, TRN+I+G, GTR+I+G, HKY+I+G+X, TRN+I+G+X, GTR+I+G+X
INFO     | 2021-01-14 03:10:37,718 | config     | Setting 'model_selection' to 'bic'
INFO     | 2021-01-14 03:10:37,739 | config     | Setting 'search' to 'greedy'
INFO     | 2021-01-14 03:10:37,739 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2021-01-14 03:10:37,739 | config     | Looking for alignment file './Concat2reducido.phy'...
INFO     | 2021-01-14 03:10:37,778 | threadpool | Using 8 cpus
INFO     | 2021-01-14 03:10:37,778 | analysis   | Beginning Analysis
INFO     | 2021-01-14 03:10:37,968 | alignment  | Reading alignment file './Concat2reducido.phy'
INFO     | 2021-01-14 03:10:37,999 | analysis   | Starting tree will be estimated from the data.
INFO     | 2021-01-14 03:10:38,000 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2021-01-14 03:10:38,001 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2021-01-14 03:10:48,331 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2021-01-14 03:10:58,032 | raxml      | ML topology estimation finished
INFO     | 2021-01-14 03:10:58,033 | analysis_m | Performing Greedy Analysis
INFO     | 2021-01-14 03:10:58,033 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2021-01-14 03:11:49,309 | progress   |       Finished subset 1/11, 9.09 percent done
INFO     | 2021-01-14 03:12:53,332 | progress   |       Finished subset 2/11, 18.18 percent done
INFO     | 2021-01-14 03:13:07,264 | progress   |       Finished subset 3/11, 27.27 percent done
INFO     | 2021-01-14 03:13:57,121 | progress   |       Finished subset 4/11, 36.36 percent done
INFO     | 2021-01-14 03:14:07,636 | progress   |       Finished subset 5/11, 45.45 percent done
